baapiiw'aan	brush dust or
maanpii	here  2
maanshiins	fawn
maantaanish	sheep
maantaanshens	lamb
maantaan'shiiy'ii	woolen goods
maanten'shiins	lamb
maantenis	sheep
maanwang	fruit
maanzh'aa	beat smb in
maanzhtoon	overpower sth
maapiitaa-	sometime during
maashtaan'shiiwniniikwe	shepherdess
maashtaanish	sheep
maashtaanshiiwgamik	sheep shed
maashtaanshiiwnini	shepherd
maaskaa	brawl be in
maaskaachge	lose control in
maaskaaji-zhiyaa	be in a
maaskaakmigat	be a brawl
maatgozhebnaa	pull the blankets
maatgozhetaa	push ones blankets
maawdaagenmo	anticipate something with
maawmaaw	eyebrow
maawnd'age	collect money from
maawndoo'ge	collect things gather
maawndoogwaadaan	sew sth together
maawndoogwaanaa	sew sth an
maawndoogwaasa	sew things together
maawndoonaa	collect sth an
maawndoonaan	collect sth gather
maawndoonaashkaage	round up cows
maawndoonaashkge	round up cows
maawndoongdaasa	add numbers tally
maawndoonmawaa	gather things up
maawndooshk'igan	rake
maawndooshk'ige	rake hay
maawndooshkaawak	meet gather of
maawndooshkbiiyaa	be marshy pool
maawndooshkgan	rake
maawndowaabkin'ge	collect money pool
maawndowaabkwe	collect money pool
maawndowaakw'aan	hammer sth together
maawnji'aa	gather sth an
maawnji'diwak	assemble gather meet
maawnjibtoo	run and gather
maawnjichge	collect things
maawnjidwak	assemble gather meet
maawnjidwin	meeting
maawnjise	coincide come together
maawnjitoon	collect sth stockpile
maawnjiwewin	gettogether party
maazaabi	hallucinate visually imagine
maazh'aa	beat smb in
maazhbii	be nasty when
maazhde'e	feel nauseous have
maazhdeweb'ogo	be seasick get
maazhi-gnoozhe	muskelunge
maazhi-nmegos	coho salmon
maazhsachge	cause discord
maazhsewak	have a falling
maazhtwaa	win a physical
madaabaawe	wake up from
madaakji	wake up from
madaan'gidoon	wake up talking
madaapne	wake up from
madaapnen	wake up from
madbweza	wake up sweating
madjiiza	wake up from
madnaa	wake smb up
madnaabaagwe	wake up from
madnaandam	wake up from
madsa'aa	jerk smb out
madsaa	visit smb
magii	have a scab
magkii	frog toad
maj'aa	wake smb up
majgidaaza	wake up angry
majwebnaa	wake smb up
mandaagkwe	lady beautiful woman
mandaagnini	gentleman handsome man
mandaago-	beautiful fair handsome
mandoomi	leave tracks
manj	however it may
mansa	be spooked sense
mansadwaa	haunt smb
man'soonh	apparition  2
{n}masat	my abdomen my
masdamoonh	northern water snake
maskdamoonh	water snake
mawaa	extract something for
mazhwe	copulate have sex
mazkawaa	wake smb up
mazmaa	wake smb up
mba	There
mba'aan	elevate sth with
mba'gan	car jack
mba'go	get a swelling
mbaa	be up
mbaabiigbidoon	pull sth up
mbaabiigbinaa	pull sth an
mbaabiignaa	raise sth an
mbaabiignaan	raise sth on
mbaabiignigaade	be hoisted be
mbaabiignigaaza	be hoisted be
mbaabsa	steam smoke
mbaabte	have dust fly
mbaakwaa	jack sth an
mbaakwaan	jack sth up
mbaashi	blow upwards be
mbaasin	blow upwards be
mbaasjigan	airplane
mbaasjigan	balloon kite
mbaazmaagot	stink
mbabgwaashkni	jump up and
mbadnis	button
mbagmide	foam up and
mbagmiza	foam up and
mbagnaandaan	pop up
mbagnde	go up in
mbakne	flare up
mbakne	flare up
mbanegaade	be onelegged have
mbanegaadegwaashkni	hop on one
mbanegaat	on one leg
mbanen'ketaa	use one arm
mbaneshkiinzhgwe	be oneeyed have
mbaneyiing	on one side
mbangza	go up in
mbawaa	elevate sth an
mbazaanwan	be a bazaar
mbazaanwi	have a bazaar
mbazaanwi	spend something at
mbazh'aa	attract smbs romantic
mbazhiikaan	bother sth
mbazhiike	hang around a
mbazhiikwaa	bother smb
mbazhkamgizi	play noisily
mbazhwewesin	ring persistently of
mbazhzi	be tempted to
mbes	base 
mbi-	go up in
mbibde	fly up go
mbibza	fly up go
mbigaadetaa	raise ones leg
mbigi	grow up grow
mbigwaashkni	jump up
mbiig'aa	cause smb to
mbiignanaa	fight with smb
mbiigtaa	cause people to
mbiigwewe	be noisy make
mbiigwewe	be noisy make
mbiigwewebde	be noisy make
mbiigwewebdetoon	make a racket
mbiigwewebza	be noisy make
mbiigwewebzaw'aa	make a racket
mbiigwewedaabii	snore
mbiigwewegnaamaa	make a racket
mbiigwewegnaandaan	make a racket
mbiigwewejaanengwaam	snore
mbiigwewejaaza	urinate loudly
mbiigwewejiigmiza	have ones stomach
mbiigwewejiignaamaa	make a racket
mbiigwewejiignaandaan	see mbiigwewejiignaandaan
mbiigweweshkdiza	defecate loudly
mbiigweweshmaa	flap sth an
mbiigweweyaashi	be noisy from
mbiigweweyaasin	be noisy from
mbiigwewezdebtoo	make noise running
mbiigweyaaktoo	make a racket
mbiigweyaakw'ige	knock noisily on
mbiigzi	be noisy call
mbiigzigan	noise
mbiigziwin	noise
nbiishkaagmi	be watery be
mbijiide	rise in baking
mbijiisin	rise of dough
mbijiisjigan	dough
mbijiiza	rise in baking
mbijiizgan	baking powder 
mbijiizkwegan	yeast
mbin'ketaa	raise ones arm
mbinaa	elevate sth an
mbinaadii	get water
mbinaan	elevate sth lift
mbingoon'wan	be a game
mbingoon'wi	hold a bingo
mbinmoo'aa	get smb to
mbisdoon	set sth to
mbishkaa	ascend go up
mbishkaa	ascend go up
mbisin	rise of dough
mbisjigan	yeast
mbisjige	let dough rise
mbiwdoon	lift sth onto
mbiwnaa	lift sth an
mbizgan	baking soda LH
mbizi	be up
mboomaa	lift sth an
mboondaan	lift sth heavy
mboongzi	be listless
mchaa	be big get
mchaatoon	make sth big
mchidyeshin	lie with ones
mchiigat	be big of
mchiigzi	be big of
mchikan	fence
mchiknaatik	fence rail
mchimsadegaabwi	stand with ones
mchimsadeshin	lie with ones
mchinjiikndaan	eat sth with
mchisak	on the floor
mchishin	lie uncovered
mchisin	lie uncovered
mchiwe-	instead  2
mdaabii	go to the
mdaabiibde	drive from inland
mdaabiibtoo	run to the
mdaabiibtwaadaan	take sth down
mdaabiibtwaanaa	take smb down
mdaabiibza	drive from inland
mdaabiidaabaadaan	drive sth from
mdaabiidaabaanaa	drive smb from
mdaabiiyoodegzi	move ones household
mdaaching	ten times
mdaagwendaan	like sth like
mdaagwenmaa	like smb romantically
mdaamin	corn kernel of
Mdaamin-giizis	September Corn moon
mdaamin-wiin'zis	corn tassle
mdaamnaaboo	corn soup
mdaamniwzide	have corns on
mdaas	sock stocking
mdaasbii'gan	the numeral ten
mdaasgon	for ten days
mdaasgonendi	be absent for
mdaasing	ten times
mdaaske	make socks
mdaaskiins	ten acres of
mdaasoobii'gan	the numeral ten
mdaaswaabiig	ten rows ten
mdaaswaabik	ten dollars tendollar
mdaaswaak	one thousand ten
mdaaswaatik	ten bottles ten
mdaaswek	ten pieces of
mdaaswi	ten
mdaazhenmaa	like smb
mde-	in the distance
mdebde	be heard driving
mdebza	be heard driving
mden'gwiigneshin	drum ones wings
mdesdoon	ring sth of
mdesgishin	fall on the
mdesgisin	fall on the
mdeshkaa	crack ie the
mdeshkaa	crack ie the
mdeshmaa	make noise moving
mdesjige	ring a bell
mdetoo	rattle around
mdewaashi	beat the air
mdewe	crackle make noise
mdewe	crackle make noise
mdewe'aan	beep sth make
mdewechgan	drum musical instrument
mdewechge	play music play
mdewesin	ring sound
mdewewaa	beep sth an
mdewgaan	medicine lodge
mdewiiwin	medicine ritual rite
mdewnini	traditional medicine man
mdezge	shoot set off
mdezwaa	take a shot
mdida	be big be
mdimooyenh	old woman
mdoodoo	take a steam
mdoodoo'aa	give smb a
mdoodoowgamik	steam bath sweat
mdookat	be damp of
mdooksin	get damp from
mdookte	be damp in
mdwebde	be heard driving
mdwebza	be heard driving
mdwechge	play music play
mdwegnaamaa	make sth an
mdwegnaandaan	make sth sound
mdwejaanengwaam	snore
mdwejii'aan	make sth sound
mdwejiigmiza	have ones stomach
mdwejiishin	land with a
mdwejiisin	land with a
mdwejiiwaa	make sth an
mdwejwan	make a sound
mdwen'gwiigneshin	drum ones wings
mdwen'gwiishin	make noise with
mdwesdoon	ring sth of
mdwese	jingle tinkle
mdwesgishin	fall on the
mdwesgisin	fall on the
mdweshin	go off ring
mdweshkaa	crack ie the
mdweshkaa	crack ie the
mdweshmaa	make noise moving
mdwesin	go off ring
mdwesjige	ring a bell
mdwetoo	rattle around
mdwewaajiinh	
mdwewaakdin	crack audibly from
mdwewaapi	laugh audibly
mdwewaashi	make noise from
mdwewaashkaa	be audible of
mdwewe	crackle make noise
mdwewe	crackle make noise
mdwewe'aan	beep sth make
mdwewechgan	drum musical instrument
mdwewechge	play music play
mdwewedaabii	snore
mdweweshin	ring sound
mdwewesin	ring sound
mdwewetoon	play something turn
mdwewewaa	beep sth an
mdwezge	shoot set off
mdwezgedim	be New Years
medaa-Nishnaabe	Indian of another
medaa-nishnaabe	wildman
medsenmaa	miss smb emotionally
medsinaa	miss smb who
medsinaan	miss sth that
medwewebdenh	motorboat
medwewenh	rattler rattlesnake
megwaa	at the moment
megwaach	probably  2
megwaaji-	in the middle
megwaashin	arrive at somebodys
megwaashkwaa	meet up with
megwe-	among in in
megwenh	foreigner of unkown
megwey'iing	in the middle
megyaak	in the woods
megyaakaa	be woodland
megyaakwaang	in the woods
mekde	gunpowder
mekdewkon'ye	black robe priest
mekdewkon'yekwe	nun sister of
mekdewzhet	black person black
memaadwe	sing
memaangshenh	donkey mule
memaangsheyaanh	a type of
memaateshiinh	firefly
memdage	particularly to an
memdage	Ever Jeez remarking
meme	pileated woodpecker
memegwenh	downy woodpecker hairy
memengwaanh	butterfly
memengwenh	butterfly
memengwesi	elf leprechaun
memeshkot	by turns in
memeshkot	alternately
memeskniin'si	redwinged blackbird
memeskniniisi	redtailed hawk
memkaach	bother bother oneself
memmiin	in patches
memoon	Go to sleep
memsaadkon'gwiigaans	bank swallow
memskon'gwiigaans	redwinged blackbird
memtigningwiishenh	general word for
menaagwaakmish	sassafras
mendaagzi	be supposed to
mengjii	burp belch
menmeg	catfish
mensaadkamik	shamefully
men'saadkamik	Shame on you
mensendam	be ashamed be
menshiingwegaabwi	stand looking rueful
menshiingwegaabwi	stand looking foolish
menshimaa	put smb in
menshizi	be fooled due
mensishki	be shy
menwaagmik	pop soft drink
menwendaan	hesitate to discard
menwenmaa	hesitate to discard
meshkdoonaa	exchange sth an
meshkdoonaan	exchange sth trade
meshkdoonmawaa	exchange sth for
meshkot	instead
meshkwaagmik	hard liquor
meshkwisgizit	hardwood hardwood tree
mesin'geyendam	be lonely
meskwendam	wish hope
mesnaa	miss smb emotionally
mesnaan	miss sth emotionally
metwishkwaa	cross smbs path
mewnzha	long ago long
mezweyaanh	maple sugar candy
mgaawebnaa	restrain smb hold
mgi	bark
mgidaan	bark at sth
mginaa	bark at smb
mgiskan	fish hook
mgisknweyaab	fishing line
mgitoo	be suspiciously quiet
mgizi	eagle
mgizwaash	bald eagle
mgokmig'aan	bury sth in
mgokmigaa	be a knob
mgokmigshin	lie buried in
mgokmigsin	be mounds of
mgokmigwaa	bury smb in
mgoos	awl
mgoshkaadendaan	find sth annoying
mgoshkaadendam	fret over problems
mgoshkaadenmaa	find smb annoying
mgoshkaadshin	toss about in
mgoshkaadzi	be tense be
mgoshkaaj'aa	bother smb hassle
mgoshkaaji-yaa	be fidgety be
mgoshkaaji-zhi-yaa	act hassled feel
mgoshkaajiikaage	bother people pester
mgoshkaajiikaageshki	be a constant
mgoshkaajiikwaa	bother smb pester
mgozi	have a boil
miggaade	get scabs on
migii	get scabs get
migiiwin	impetigo scabs 
migiiyiingwe	get pimples get
migkweni	move ones head
migndibe	get scabs on
mignike	get scabs on
migninjii	get scabs on
migshkaas'aa	shake smb
migshkaastoon	shake sth
migwebdoon	shake sth
migwebnaa	shake sth an
migwii	leap up CL
migzhe	get a rash
migziwin	blister boil
mii	thats how thats
mii'sh	and so and
mii'sh	and so so
miidaawendam	see mmiidaawendam
miidaawenmaa	save smb from
miidngwaami	defecate in ones
miigaadaan	fight sth fight
miigaadii'aa	make smb fight
miigaadkwewe	abuse ones wife
miigaadwak	fight each other
miigaadwin	conflict war
miigaanaa	fight smb physically
miigaaza	fight wage a
miigaazoownini	fighter warrior
miigaazshki	be pugnacious
miigaazwin	fight
miigkawaa	hit smb with
miigon	feather
miigshkawaa	affect smb deeply
miigwan	feather
miigwe	give away
miigwech	thank you thanks
miigwechwendam	be grateful be
miigwechwi'aa	thank smb
miigwen	give something give
miigweshki	be generous
miijdaan	defecate on sth
miijgaazo	be given something
miijim	food a serving
miijin	eat sth
miijmaknjigan	fish bait
miijnaa	defecate on smb
miikan	road street
miikganaamaa	hit sth an
miikganaandaan	hit sth dead
miikna	road street
miiknaans	path trail
miiknege	buy things as
miiknewaa	buy sth an
miikne'aan	buy sth as
miiknidwak	be evenly matched
miiknoot	pants slacks trousers
miikse	end up somewhere
miikse	be fitting fit
miiksen	find oneself with
miikshin	hit an exact
miikwaa	hit smb usually
miikwaadzi	be suited to
miikwaagnaa	be a perfect
miikzi	be in ones
miimii	pigeon mourning dove
miimiinh	general word for
miimiins	mayfly
miin	blueberry huckleberry
miin'go'ewzi	be gifted be
miin'go'ewziwin	gift talent
miin'kaan	seed
miin'ke	pick berries pick
Miin-giizis	July Blueberry moon
miinaa	give something to
miinaande	be the colour
miinaanza	be the colour
miinens	hawthorn berry
miinensgaawansh	hawthorn thornapple
miinensmin'gaawansh	hawthorn thornapple
{n}miinjis	a strand of
miinjisaa	have hair
miinjisaakaajgan	wig
miinkaan'gamik	granary
miinkaanens	seed
miinwaa	and  2
miinwan	bear fruit
miinwi	bear fruit
{n}miinzis	have hair
miiseshkaa	fray
miishaaboojiignigan	eyelash
miishaaboojiinaagan	eyelash
miishaakdoone	have a beard
miishaakgaade	have hairy legs
miishaaknike	have hairy arms
miishaakzhe	be hirsute have
miishaateshin	be fuzzy show
miishaatesin	be fuzzy show
miishbiiwye	be furry
miishdiiye	have a hairy
miishdoonaagan	have a moustache
miishdoone	have a moustache
miishgaade	have hairy legs
miishgaakgan	have a hairy
miishgondaagan	a person with
miishgondaagan	a strand of
miishiingwe	have a beard
miishkaakan	have a hairy
miishkiinzhgwaagan	eyelash
miishko-gtigaan	hayfield
miishko-zhgaagwiizhiins	chive plant which
miishkogmik	barn
miishkogwaam	barn
miishkokaa	have a good
miishkoke	cut hay
miishkomiin'kaan	hayseed grass seed
miishkooki	marsh
miishkoonh	weed
miishkoons	grass blade of
miishkoonskaa	be a lot
miishkoonswaande	be grass coloured
miishkoonswaanza	be grass coloured
miishkosh	weed
miishkwaan	a strand of
miishmat	tripe prepared as
miishnike	have hairy arms
miishninjii	have hairy hands
miishtawge	have hairy ears
miishzhe	be hirsute have
miiw'aa	drive smb away
miiwaapnemaa	drive smb away
miiwaashkwaa	avoid smb
miizhaawendam	be distressed about
miizhaawshkoozo	struggle under a
miizhash	a blade of
miizhmin	acorn of the
miizhmish	white oak
miizii	defecate
miiziiwaagan	privy toilet
miiziiwgamik	bathroom outhouse
mijigekekoo	an owl 
bmijwaagaakot	hoe
mik	beaver
mik-weyaan	beaver pelt
mikgamik	beaver lodge
mikogbaakw'igan	beaver dam
mikwaash	beaver lodge
minaadzi	be fussy about
minbii	be high on
{n}miniingwaagan	sand in ones
{n}miniingwaan	sand in my
miniingwe	have sand in
minj	however it may
minkwe	drink and drink
minoonkenh	smokehole
minwaa	the other one
misksii	water bug
mji-	bad evil mischievous
mji-	badly evilly
mji-bmaadzi	be evil live
mji-doodwaa	mistreat smb treat
mji-giizhwaanaa	curse at smb
mji-giizhwe	curse swear
mji-gnoozhe	muskelunge large predatory
mji-jichaak	evil spirit
mji-mnidoo	devil evil spirit
mji-mnidoonaang	hell in hell
mji-mshkiki	bad medicine narcotic
mjidwe	order things place
mjidwen	order something have
mjidwetmawaa	order something for
mjigaawan	glove mitten
mjigiigda	curse swear
mjigkan	fence
mjigoode	dress
mjigoodenh	dress skirt
mjiikwewis	eldest daughter
mjiikwis	eldest son
mjikaawan	mitten glove
mjinkaawan	mitten glove
mkaan	find sth
mkaanj'igo	come upon a
mkade-	black
mkade-bgiw	tar
mkade-mskomin	blackberry
mkade-pakne	cricket
mkade-wiiyaas	black man racially
mkadekaadaan	give sth up
mkadekaanaa	give sth an
mkadeke	fast give something
mkadeke-giizhgat	be a fasting
mkadewaa	be black
mkadewaabkat	be black of
mkadewaabkizi	be black of
mkadewaagmiingwe	have black eyes
mkadewaan'kot	be black of
mkadewaan'kwe	be black haired
mkadewnini	black man racially
mkadewshkiinzhgwaan	pupil of the
mkadewzi	be black of
mkadeyaa	be black of
mkadeyaas	black man racially
mkadeyaas-kwe	black woman
mkadeyaasa	be dark from
mkak	box chest 
mkakoons	quart dry measure
mkaksak	barrel
mkamaa	seize something from
mkamwaa	find something belonging
mkandwe	seize something from
mkandwen	seize something snatch
mkawaa	find smb
mkawaamaa	remind smb to
mkawaanaa	greet smb effusively
mkawaangzhe	find a job
mkawi	come to wake
mkinaak	turtle
mkizin	tire
mkizin	boot shoe moccasin
mko	bear
mko-dsoonaagan	bear trap
Mko-giizis	February Bear moon
mkobdoon	find sth while
mkobnaa	find sth an
mkodaawe	find a buyer
mkodaawen	find a buyer
mkojiinaa	find sth an
mkojiinaan	find sth while
mkom	ice piece of
mkomii-mkak	ice box freezer
mkomii-taaswin	refrigerator
mkomiibiisaa	hail
mkomiibiisaan	hail
mkomiidamat	be icy of
mkomiins	icicle ice cube
mkomiiwaaboo	ice water
mkomiiwaagmi	be ice cold
mkomiiwan	be icecovered be
mkomiiwgamik	ice house freezer
mkomiiwi	be ice turn
mkomiiwninjii	have icecold hands
mkomiiwzide	have icecold feet
mkomnaanwan	be sleet sleet
mkomsak	barrel
mkoshin	find ones way
mkwa	bear
mkwaand	ringshaped handle
mkwaangzhe	find a job
mkwendaan	bear sth in
mkwenmaa	keep smb in
mma'iing	out in the
mmaa	remove sth an
mmaachaa	be big of
mmaachdemgat	be wide
mmaadaashi	move slightly in
mmaadaasin	move slightly in
mmaadkweni	move ones head
mmaadkwetaa	move ones head
mmaadnaa	move sth an
mmaadnaan	move sth slightly
mmaadwe	groan moan
mmaadzideni	move ones feet
mmaadzidetaa	move ones feet
mmaajii	move ones body
mmaajninjiini	move ones hands
mmaakwii	perform some action
mmaandaa	amazing incredible miraculous
mmaandaa-	amazing incredible miraculously
mmaandaa-zhiwebat	something amazing happen
mmaandaa-zhiwebzi	have something miraculous
mmaandaawaabi	see an amazing
mmaandaawaajma	relate an amazing
mmaandaawaabndam	have an amazing
mmaanddowak	be big of
mmaandnge	go to ask
mmaangden'gome	have big nostrils
mmaangkawe	make big tracks
mmaangnike	have big arms
mmaangninjii	have big hands
mmaangnowe	have big cheeks
mmaangshe	have big ears
mmaangshkiinzhgwe	have big eyes
mmaangshkiinzhgweni	have ones eyes
mmaangshkiinzhgweshkaa	have ones eyes
mmaangshkiinzhgwetaa	have ones eyes
mmaangtawge	have big ears
mmaangzide	have big feet
mmaanjmizi	be paralyzed
mmaaskaa	budge move shift
mmaaskaa	budge move shift
mmaaskaachge	lose control in
mmaazaabi	hallucinate visually imagine
mmaazhiiwii	be bad at
mmagwii	move stir
mmanjge	snack
nmanjii	be lefthanded
mmawaa	extract something for
mmazhwe	copulate have sex
mmemmiin	in patches here
mmendaaji-	want to do
mmendaajse	want to do
mmendaajtoo	want to stay
mmenwendaan	hesitate to discard
mmenwenmaa	hesitate to discard
mmeskwendam	wish hope
mmigkweni	move ones head
mmigkwetaa	move ones head
mmigsa'aa	shake sth an
mmigsatoon	shake sth
mmigshkaas'aa	shake smb
mmigshkaastoon	shake sth
mmigwebdoon	shake sth
mmigwebnaa	shake sth an
mmigwii	leap up CL
mmiidaawenmaa	be impatient to
mmiizniboodoon	carve sth intricately
mmiizniboonaa	carve sth an
mmiiznin'ge	gesture
mmin'kwe	drink and drink
mminbii	be high on
mmoon	remove sth take
mna'aa	give smb a
mna'mii	be comfortable in
mnaa	copulate with smb
mnaabaawe	be soaked
mnaabaawe	be soaked
mnaabi	see well have
mnaabji'aa	make good use
mnaabjitoon	make good use
mnaabmewzi	be fortunate be
mnaabmewziiwaadzi	be born lucky
mnaabminaagwat	look beautiful look
mnaabminaagzi	look beautiful look
mnaabmiwewzi	be fortunate be
mnaabndam	see a good
mnaabndiza	like the way
mnaadendaan	honour sth respect
mnaadenmaa	honour smb respect
mnaadzi	live well
mnaagii	be good in
mnaagjiinh	bedbug stinkbug
mnaagjiis	stinkbug bedbug
mnaagmaagot	stink
mnaagmaagzi	stink
mnaagmi	taste good of
mnaagmipdaan	like the taste
mnaaj'aa	commemorate smb honour
mnaajmaa	give a good
mnaajmaamaa	smell smb
mnaajmaandaan	smell sth
mnaajmatwaa	give a good
mnaajndaan	give a good
mnaajtoon	commemorate sth honour
mnaan'gozi	be cheerful be
mnaangwendam	be cheerful be
mnaanmat	be a nice
mnaasge	shine brightly of
mnabi	be comfortable sitting
mnabiiyaa	be nice be
mnade	be cooked be
mnagaade	have nice legs
mnagaama	be nicely fat
mnagnde	be a good
mnagne	feel refreshed feel
mnagza	be a good
mnajiin'ge	have a good
mnajwan	flow nicely flow
mnakaan	fit sth nicely
mnamat	be nice of
mnangwaam	sleep well
mnanigkwaa	be the right
mnanigni	be the right
mnanish	its a good
mnashkzi	have a good
mnataan	like the sound
mnatwaa	like the sound
mndaadendaan	honour sth respect
mndaadenmaa	honour smb respect
mndekdawaa	appropriate something from
mnegshin	lie evenly lie
mnegsin	lie evenly lie
mnendaagzi	enjoy oneself have
mnendaan	like sth be
mnendam	be content be
mnenmaa	be interested in
mnepwaa	be in need
mneshkaa	be needed
mneshkaa	be needed
mngaabkat	be big become
mngaabkizi	be big grow
mngaateshmaa	enlarge sth an
mngadebiiyaa	be wide of
mngadeyaa	be wide
mngadezi	be wide
mngagmaa	be big grow
mngidoon	have a big
mngidoone	have a big
mngiingwe	have a big
mngijiimnagat	be large and
mngijiimnagzi	be large and
mngimnagaa	be big of
mngimnagat	be big of
mngimnagzi	be big of
mngimsade	have a big
mngindbe	have a big
mnginke	have a big
mngizde	have a big
mnidoo	spirit supernatural being
Mnidoo-mnising	Manitoulin Island
mnidookaazo	do magic perform
mnidooke	conduct a traditional
mnidoomin	bead
mnidoomnens	bead
mnidoomnens	bead
mnidoons	bug insect
mnidoosh	bug caterpillar insect
mnidooshens	gnat
Mnidoowaanzhing	Manitowaning Ont place
mnidoowegnaa	use supernatural powers
mnidoowegnige	use supernatural powers
mnidoowi	be a spirit
mnii	be in a
mniiw	pus
mniiwaashkwaa	cross smbs path
mniiwan	have pus be
mniiwi	have pus
mnijiimin	pea peas
mnik	so many so
mnik	Enough
mnik-dshing	number of times
mnikwaadaan	spend sth on
mnikwaajgan	dipper pitcher 
mnikwaajge	spend ones money
mnikwaanaa	use sth an
mnikwe	drink
mnikwechge	take livestock to
mnikwen	drink something 
mnikwewgamik	bar ie an
mnikwewin	alcoholic beverage alcoholic
mnikwewnisiinh	drunkard
mninaak	No way any
mnis	island
mnise	cut firewood
Mnisenh	Munising Michigan 
mnisenh	island
mnisetmawaa	cut firewood for
Mnishenh	Walpole Island Ont
mnishenh	island
mnismawaa	cut wood for
mniswaa	cut wood for
mnji'aa	give smb a
mnjidwe	order things to
mnjidwen	order something to
mnjiggaadenaa	hold smbs leg
mnjignaa	hold on to
mnjignaan	hold on to
mnjignamaakwii	hold on
mnjignamwaa	hold something for
mnjignige	hold on to
mnjigshkaan	hold sth down
mnjigshkawaa	hold sth an
mnjijmaa	ask smb to
mnjimaabmaa	keep smb in
mnjimaabndaan	keep sth in
mnjimaakw'aan	clamp sth down
mnjimaakwaa	clamp sth an
mnjimaakwaan	see mnjimaakwaan
mnjimbi'we	take refuge somewhere
mnjimnaa	detain smb 
mnjimnaan	hold sth hold
mnjimnamwaa	hold something for
mnjimshin	be secured somewhere
mnjimshkaan	keep sth down
mnjimshkawaa	keep smb down
mnjimshkoodoon	keep sth down
mnjimshkoonaa	keep sth an
mnjimsin	be secured somewhere
mno'oonaa	give smb a
mno-	good well 
mno-bmaadzi	be doing well
mno-giizhgat	be a nice
mno-jichaak	good spirit
mno-maajiishkaa	make good progress
mno-mkaan	find sth to
mno-mkawaa	find sth an
mno-nendam	be content be
mno-pii	just the right
mno-piichbii	be moderately intoxicated
mno-piichpogot	be seasoned just
mno-piichpogzi	be seasoned just
mno-piitaagmi	be just the
mno-piitaagmide	be just the
mno-piitaapkide	be just the
mno-piitaapkiza	be just the
mno-yaa	be content be
mno-zhiwebat	be nice out
mno-zhiyaa	be in good
mno-zhiyaamgat	feel good
mnobde	drive well fly
mnobii	be a little
mnobwaame	have nice thighs
mnobza	drive well fly
mnochge	act right do
mnogaabwi	adopt a comfortable
mnogchige	produce a good
mnogi	grow well
mnogin	grow well
mnokbaa	be nicely grown
mnokmigaa	be good of
mnokmii	be surefooted have
mnomaagot	have a nice
mnomaagzi	have a nice
mnomaamaa	like the smell
mnomaandaan	like the smell
mnomaasaawe	make a savoury
mnomaasge	make a nice
mnomaaso	smell good of
mnomaate	smell good of
mnomnji'o	feel good emotionally
mnonaagot	look well
mnonaagzi	look well
mnongwaamo	sleep well
mnookmi	be spring be
mnoomin	oats rice
mnoomnikeshiinh	king rail species
mnopdaan	have sth taste
mnopgot	taste good taste
mnopgozi	taste good taste
mnopwaa	have sth an
mnoshin	be in a
mnosin	be nicely positioned
mnotaagot	sound good of
mnotaagzi	sound good
mnowaan'gozi	be cheerful be
mnowendaan	say good things
mnowenmaa	say good things
mnozaan	cook sth
mnozekwe	be done baking
mnozmawaa	cook something for
mnaza	be cooked be
mnozwaa	cook sth an
mnwaabaawe	be soaked
mnwaabaawe	be soaked
mnwaabdat	be handy be
mnwaabdizi	be handy be
mnwaabewzi	be shapely have
mnwaabi	see well have
mnwaabiig'ige	have a nice
mnwaabmew'iwewin	blessing by a
mnwaabmewzi	be fortunate be
mnwaabmewziiwaadzi	be born lucky
mnwaabmewziwin	good luck
mnwaabmiwewzi	be fortunate be
mnwaabndam	see a good
mnwaabndiza	like the way
mnwaadzi	live well
mnwaagmi	taste good of
mnwaagmipdaan	like the taste
mnwaajmaa	give a good
mnwaajndaan	give a good
mnwaaksa'diwak	get along well
mnwaan'gozi	be cheerful be
mnwaan'kwe	have nice hair
mnwaangoondwak	get along well
mnwaangwendam	be cheerful be
mnwaanmat	be a nice
mnwaasge	shine brightly of
mnwaatese	be good be
mnwaatese	be good be
mnwegshin	lie evenly lie
mnwegsin	lie evenly lie
mnwekse	be a nice
mnwendaagot	be enjoyable be
mnwendaagzi	enjoy oneself have
mnwendaan	like sth be
mnwendam	be content be
mnwenmaa	be interested in
mnwewechge	play good music
mnwii	be in a
mogo	have cancer
moo	feces
mooday	bottle jar quart
moodiiye	be full of
moodyens	vial
moodyikaa	be a lot
mookaaddaan	disclose information about
mookaajma	disclose information divulge
mookbiise	pop to the
mookbiise	pop to the
mookdaasa	carve wood whittle
mookdaasoonh	carpenter wood carver
mookdaasoonini	carpenter
mookdaaswin	carpenters horse shaving
mookiitaan	attack sth
mookiitam	attack make an
mookiitwaa	assault smb attack
mookjigan	drawknife tool for
mookmaan	knife
mookmaanens	penknife
mooknaa	bring sth an
mooknaan	bring sth out
mooknige	bring things out
mookse	come to the
mookse	come to the
mookwaakii	cry after somebody
mookwaanaa	cry after smb
moon	remove sth take
moon'aan	dig sth up
moon'amwaa	dig something up
moon'angoonh	a species of
moon'apnii	dig potatoes harvest
moon'ashkiwe	dig medicinal herbs
moon'gonenh	yellowshafted flicker species
moon'igan	mine LH 
moon'ige	dig mine
moondiiwaa	charge at smb
moonendam	imagine suspect
moonenjge	suspect something
moonenmaa	suspect that smb
moonshkwe	weed pull weeds
moonwaa	dig sth an
Moonyaang	Montreal Quebec
moos	moose
moose	caterpillar
mooshens	blackfly
